what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1278603770775
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1278603770775
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1278603770775
java.vm.specification.version,sysinfo,,,"1.0",1278603770775
java.vm.vendor,sysinfo,,,"Apple Inc.",1278603770775
java.vm.version,sysinfo,,,"16.3-b01-279",1278603770775
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1278603774423
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278603778368
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278603779239
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278603787618
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278603796386
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278603797975
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278603828907
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278603830639
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278603832093
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278603838468
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278603844538
opened,view,org.tigris.subversion.subclipse.ui,1.6.12,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1278603844738
opened,view,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui.GenericHistoryView",1278603844802
opened,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1278603844846
activated,perspective,org.tigris.subversion.subclipse.ui,1.6.12,"org.tigris.subversion.subclipse.ui.svnPerspective",1278603844864
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1278603844879
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1278603844889
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1278603844889
activated,view,org.tigris.subversion.subclipse.ui,1.6.12,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1278603846823
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278603848659
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.12,"org.tigris.subversion.clientadapter.javahl",1278604010311
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.12,"org.tigris.subversion.clientadapter.svnkit",1278604010311
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1278604029428
started,bundle,org.tmatesoft.svnkit,1.3.3.6648,"org.tmatesoft.svnkit",1278604039128
started,bundle,com.sun.jna,3.2.3,"com.sun.jna",1278604040659
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604043688
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1278604050338
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1278604050443
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1278604054747
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1278604054749
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1278604054776
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1278604054787
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1278604054805
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1278604054818
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1278604054818
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604054933
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.200.v20100503,"org.eclipse.equinox.p2.updatesite",1278604059154
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604182591
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1278604182620
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1278604183828
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1278604183876
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1278604183897
started,bundle,org.eclipse.jdt.junit.core,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.core",1278604184745
activated,view,org.tigris.subversion.subclipse.ui,1.6.12,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1278604185605
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604188142
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604188825
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604192948
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604194918
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604200832
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604200992
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604201221
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604202908
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604205160
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1278604269833
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604272679
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604273205
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604308678
activated,view,org.tigris.subversion.subclipse.ui,1.6.12,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1278604311960
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604318416
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604356996
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1278604360609
activated,view,org.tigris.subversion.subclipse.ui,1.6.12,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1278604364472
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604390409
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604390909
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604411745
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604412595
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604418447
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604453980
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604465240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604479033
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604479741
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604505709
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604505851
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604509965
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604510104
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604515942
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604516087
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604520339
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604520475
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604600828
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604600965
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604607900
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604608050
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604729662
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604729815
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604736893
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604737043
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604738453
error,log,,,"org.tigris.subversion.javahl.ClientException: svn: authentication cancelled",1278604738481
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604738573
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604745287
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604761980
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604768511
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604776578
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604778242
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604781765
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604799062
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604799751
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604812934
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604813138
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1278604925862
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604928758
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604957903
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604958646
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278604959849
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278605346258
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1278605347482
activated,view,org.tigris.subversion.subclipse.ui,1.6.12,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1278605349749
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278605362533
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278605368815
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278605375091
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278605385908
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278605387145
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278605438884
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278605439524
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278605495522
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278605496170
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278605522196
opened,view,org.tigris.subversion.subclipse.ui,1.6.12,"org.tigris.subversion.subclipse.ui.annotations.AnnotateView",1278605524687
